record_id_ferc1,record_id_eia,signature_1,signature_2,notes
f1_steam_2018_12_144_2_1,1010_2018_plant_total_15470_retired,OIU,,No extra information. Just the name.
f1_steam_2019_12_144_2_1,1010_2019_plant_total_15470_retired,OIU,,
f1_hydro_2018_12_177_0_2,1109_2018_plant_total_19436,,,
f1_steam_2018_12_7_0_1,113_1_2018_plant_unit_total_803,,,
f1_steam_2018_12_7_0_2,113_3_2018_plant_unit_total_803,,,
f1_steam_2018_12_7_2_4,114_2018_plant_total_803,,,
f1_steam_2018_12_7_0_5,116_1_2018_plant_unit_total_803,,,
f1_steam_2018_12_7_1_1,116_2_2018_plant_unit_total_803,,,
f1_steam_2018_12_7_3_3,116_1972_2018_plant_operating_year_total_803,,,
f1_steam_2018_12_7_3_4,116_1973_2018_plant_operating_year_total_803,,,
f1_steam_2018_12_7_5_1,117_1_2018_plant_unit_total_803,,,
f1_steam_2018_12_7_5_2,117_2_2018_plant_unit_total_803,,,
f1_steam_2018_12_7_2_5,118_1972_2018_plant_operating_year_total_803,,,
f1_steam_2018_12_7_3_1,118_1973_2018_plant_operating_year_total_803,,,
f1_steam_2018_12_7_3_2,118_2002_2018_plant_operating_year_total_803,,,
f1_steam_2018_12_51_0_2,1239_2018_plant_total_5860,,,
f1_steam_2018_12_51_0_1,1239_st_2018_plant_prime_mover_total_5860_retired,,,
f1_steam_2018_12_176_1_1,124_2018_plant_total_24211,,,
f1_steam_2018_12_176_0_5,126_gt_2018_plant_prime_mover_total_24211,,,
f1_steam_2018_12_176_0_1,126_1_2018_plant_unit_total_24211,,,
f1_steam_2018_12_81_0_1,1353_2018_plant_total_22053,,,
f1_steam_2018_12_44_4_2,1725_2018_plant_total_5109,,,
f1_steam_2018_12_44_3_4,1728_2018_plant_total_5109,,,
f1_steam_2018_12_44_3_5,1729_gt_2018_plant_prime_mover_total_5109,,,
f1_steam_2018_12_44_3_1,1730_2018_plant_total_5109,,,
f1_steam_2019_12_44_0_4,1733_st_2019_plant_prime_mover_total_5109,CG,,
f1_steam_2019_12_44_4_4,1733_ic_2019_plant_prime_mover_total_5109,CG,,
f1_steam_2018_12_44_4_4,1733_ic_2018_plant_prime_mover_total_5109,CG,,
f1_steam_2018_12_44_0_4,1733_st_2018_plant_prime_mover_total_5109,CG,,
f1_steam_2018_12_44_1_4,1734_2018_plant_total_5109,,,
f1_steam_2018_12_44_4_5,1735_2018_plant_total_5109,,,
f1_steam_2018_12_44_1_5,1737_2018_plant_total_5109,,,
f1_steam_2018_12_44_2_1,1739_2018_plant_total_5109,,,
f1_steam_2018_12_44_4_3,1740_ic_2018_plant_prime_mover_total_5109,,,
f1_steam_2018_12_44_1_1,1740_3_2018_plant_unit_total_5109,,,
f1_steam_2018_12_44_5_1,1741_2018_plant_total_5109,,,
f1_steam_2018_12_44_3_3,1743_gt_2018_plant_prime_mover_total_5109,,,
f1_steam_2018_12_44_1_2,1743_1_2018_plant_unit_total_5109,,,
f1_steam_2018_12_44_2_4,1744_2018_plant_total_5109,,,
f1_steam_2018_12_44_1_3,1745_2018_plant_total_5109,,,
f1_steam_2018_12_44_5_2,1746_2018_plant_total_5109,,,
f1_steam_2018_12_193_1_1,1769_2018_plant_total_20847,,,
f1_steam_2018_12_100_0_2,2050_2018_plant_total_12685,,,
f1_steam_2018_12_51_0_3,2076_2018_plant_total_5860,,,
f1_steam_2018_12_177_1_4,2082_2018_plant_total_19436,,,
f1_steam_2018_12_177_1_3,2083_2018_plant_total_19436,,,
f1_steam_2018_12_177_0_1,2103_2018_plant_total_19436,,,
f1_steam_2018_12_177_2_4,2104_gt_2018_plant_prime_mover_total_19436,,,
f1_steam_2018_12_177_0_4,2104_1_2018_plant_unit_total_19436,,,
f1_steam_2018_12_177_0_2,2107_2018_plant_total_19436,,,
f1_steam_2018_12_7_0_3,2442_4_2018_plant_unit_owned_803,,,
f1_steam_2018_12_7_0_4,2442_5_2018_plant_unit_owned_803,,,
f1_steam_2018_12_176_0_3,2442_2018_plant_owned_24211,,,
f1_steam_2018_12_176_1_2,2451_2018_plant_owned_24211,,,
f1_gnrt_plant_2018_12_148_0_1,2963_1_2018_plant_unit_total_15474,,,
