id_l,id_r,panda_label,panda_soft_label
27884,23861,-1,9.165325541381721e-15
27884,23862,-1,9.165325541381721e-15
27771,32223,-1,9.165325541381721e-15
27771,32224,-1,9.165325541381721e-15
27771,32225,-1,9.165325541381721e-15
27771,32226,-1,9.165325541381721e-15
27911,30903,-1,9.165325541381721e-15
27506,3439,-1,9.165325541381721e-15
27884,23863,-1,9.165325541381721e-15
27911,30904,-1,9.165325541381721e-15
27884,1740,-1,9.165325541381721e-15
27880,23861,-1,3.0321084810622893e-15
27880,23862,-1,3.0321084810622893e-15
27852,33303,-1,1.8904035709911933e-14
27852,33304,-1,1.8904035709911933e-14
27471,1743,-1,9.165325541381721e-15
43744,16652,-1,8.621547393553862e-15
27641,43625,-1,1.9967430262111807e-14
27641,43626,-1,1.9967430262111807e-14
28111,4445,-1,9.165325541381721e-15
28111,22422,-1,9.165325541381721e-15
28111,22424,-1,9.165325541381721e-15
28111,22426,-1,9.165325541381721e-15
27590,24854,-1,9.165325541381721e-15
27590,24855,-1,9.165325541381721e-15
27590,24857,-1,9.165325541381721e-15
27590,24858,-1,9.165325541381721e-15
28304,23659,-1,9.165325541381721e-15
28304,23660,-1,9.165325541381721e-15
27852,627,-1,2.0096350854232002e-14
28180,8692,-1,9.165325541381721e-15
27817,37181,-1,9.165325541381721e-15
27817,37182,-1,9.165325541381721e-15
27590,24859,-1,9.165325541381721e-15
27911,30902,-1,9.165325541381721e-15
28111,30854,-1,9.165325541381721e-15
28111,30856,-1,9.165325541381721e-15
28111,30858,-1,9.165325541381721e-15
27880,1740,-1,9.165325541381721e-15
27884,1738,-1,9.165325541381721e-15
27852,5396,-1,2.0096350854232002e-14
43785,29901,-1,1.8904035709911933e-14
27828,35729,-1,9.165325541381721e-15
28329,33741,-1,9.165325541381721e-15
27956,9356,-1,9.165325541381721e-15
50533,59,-1,1.4653921915514834e-14
43836,16652,-1,8.621547393553862e-15
27893,27761,-1,3.775020883180415e-14
27893,27762,-1,3.775020883180415e-14
27471,23865,-1,9.165325541381721e-15
27471,23866,-1,9.165325541381721e-15
43785,29899,-1,1.8904035709911933e-14
43785,29900,-1,1.8904035709911933e-14
28213,28559,-1,9.165325541381721e-15
28054,38869,-1,9.165325541381721e-15
27893,27759,-1,3.775020883180415e-14
28180,26999,-1,9.165325541381721e-15
43744,16241,-1,8.621547393553862e-15
27511,27542,-1,1.8904035709911933e-14
27511,27543,-1,1.8904035709911933e-14
27880,23863,-1,3.0321084810622893e-15
28111,24993,-1,9.165325541381721e-15
28329,5676,-1,9.165325541381721e-15
27714,9885,-1,9.165325541381721e-15
28055,27502,-1,9.165325541381721e-15
28118,2068,-1,7.786207839437571e-14
27884,23864,-1,9.165325541381721e-15
27771,32227,-1,9.165325541381721e-15
27879,23863,-1,9.165325541381721e-15
28054,38864,-1,9.165325541381721e-15
28054,38865,-1,9.165325541381721e-15
28054,38866,-1,9.165325541381721e-15
28109,2098,-1,9.165325541381721e-15
28184,30708,-1,9.165325541381721e-15
27506,28285,-1,1.8904035709911933e-14
28118,18498,-1,7.786207839437571e-14
27880,1766,-1,3.0321084810622893e-15
27880,1738,-1,3.0321084810622893e-15
43625,16242,-1,1.8904035709911933e-14
50533,16652,-1,1.8904035709911933e-14
50533,60,-1,1.4653921915514834e-14
27833,12264,-1,9.165325541381721e-15
27892,26961,-1,9.165325541381721e-15
43271,16242,-1,3.725599419596182e-13
27892,26962,-1,9.165325541381721e-15
28037,34128,-1,9.165325541381721e-15
28008,24940,-1,9.165325541381721e-15
28329,33740,-1,9.165325541381721e-15
27879,23861,-1,9.165325541381721e-15
27879,23862,-1,9.165325541381721e-15
27590,24856,-1,9.165325541381721e-15
28111,414,-1,9.165325541381721e-15
27947,2393,-1,9.165325541381721e-15
27471,1757,-1,9.165325541381721e-15
27471,1758,-1,9.165325541381721e-15
43757,17641,-1,3.725599419596182e-13
27869,2037,-1,9.165325541381721e-15
27884,18634,-1,3.775020883180415e-14
43744,59,-1,6.683201631374668e-15
27590,2181,-1,9.165325541381721e-15
43499,7030,-1,1.8904035709911933e-14
43807,25464,-1,8.621547393553862e-15
27884,1766,-1,9.165325541381721e-15
28262,28194,-1,8.621547393553862e-15
27623,20703,-1,9.165325541381721e-15
27504,14715,-1,9.165325541381721e-15
28109,24585,-1,9.165325541381721e-15
27511,3143,-1,1.8904035709911933e-14
43370,31302,-1,3.725599419596182e-13
43836,16241,-1,8.621547393553862e-15
28379,9376,-1,9.165325541381721e-15
28243,6118,-1,9.165325541381721e-15
43682,16242,-1,3.725599419596182e-13
27506,28286,-1,9.165325541381721e-15
43757,17640,-1,3.725599419596182e-13
27511,27536,-1,1.8904035709911933e-14
27511,27537,-1,1.8904035709911933e-14
43732,9740,-1,8.621547393553862e-15
50533,16241,-1,1.8904035709911933e-14
27806,16242,-1,1.6956346617314204e-10
28249,28377,-1,3.775020883180415e-14
28249,28378,-1,3.775020883180415e-14
28249,28379,-1,3.775020883180415e-14
28260,38567,-1,1.8904035709911933e-14
27511,27538,-1,1.8904035709911933e-14
27511,27539,-1,1.8904035709911933e-14
27511,27540,-1,1.8904035709911933e-14
27511,27541,-1,1.8904035709911933e-14
27911,4473,-1,9.165325541381721e-15
27891,27682,-1,9.165325541381721e-15
27866,19332,-1,9.165325541381721e-15
27633,20703,-1,3.775020883180415e-14
43490,36425,-1,6.253906284455617e-15
28143,2068,-1,7.786207839437571e-14
27784,1743,-1,9.165325541381721e-15
27986,8344,-1,9.165325541381721e-15
28304,23661,-1,9.165325541381721e-15
43476,12855,-1,1.8904035709911933e-14
28249,28374,-1,3.775020883180415e-14
28249,28375,-1,3.775020883180415e-14
28249,28376,-1,3.775020883180415e-14
43836,59,-1,6.683201631374668e-15
28313,15368,-1,9.165325541381721e-15
28153,20500,-1,1.6956346617314204e-10
28192,6108,-1,9.165325541381721e-15
43421,4009,-1,8.621547393553862e-15
43807,7784,-1,2.852213688847783e-15
27923,5904,-1,9.165325541381721e-15
28055,27503,-1,9.165325541381721e-15
43422,32208,-1,2.210962639095248e-15
27489,33512,-1,2.0096350854232002e-14
27489,33513,-1,2.0096350854232002e-14
43625,16653,-1,1.8904035709911933e-14
28180,26995,-1,9.165325541381721e-15
28180,26996,-1,9.165325541381721e-15
28180,26997,-1,9.165325541381721e-15
27891,10985,-1,9.165325541381721e-15
27880,23864,-1,3.0321084810622893e-15
28054,8246,-1,9.165325541381721e-15
28192,19656,-1,3.0321084810622893e-15
28180,27000,-1,9.165325541381721e-15
27982,32732,-1,9.165325541381721e-15
27982,32733,-1,9.165325541381721e-15
27982,32735,-1,9.165325541381721e-15
27982,32736,-1,9.165325541381721e-15
27471,1761,-1,9.165325541381721e-15
27477,21657,-1,9.165325541381721e-15
43370,17505,-1,3.725599419596182e-13
27633,20706,-1,3.775020883180415e-14
28253,28378,-1,9.165325541381721e-15
28168,28275,-1,9.165325541381721e-15
27524,23866,-1,9.165325541381721e-15
43757,5823,-1,3.725599419596182e-13
27993,31280,-1,9.165325541381721e-15
43639,26825,-1,1.8904035709911933e-14
43639,26826,-1,1.8904035709911933e-14
50626,36431,-1,9.165325541381721e-15
