id_l,id_r,panda_label,panda_soft_label
10110,105812,-1,3.996988993322823e-05
10943,105812,-1,3.996988993322823e-05
10335,122373,-1,3.996988993322823e-05
10970,122373,-1,3.996988993322823e-05
6689,105812,-1,1.2014086347801215e-12
2072,101299,-1,6.35761152275168e-15
1860,102354,-1,4.372915937012163e-13
1860,102360,-1,4.372915937012163e-13
1059,85930,-1,4.372915937012163e-13
1059,85931,-1,4.372915937012163e-13
2072,101302,-1,6.35761152275168e-15
7717,122373,-1,1.2014086347801215e-12
5425,73251,-1,1.2014086347801215e-12
8890,65212,-1,9.820680661287686e-12
8890,65213,-1,9.820680661287686e-12
10335,122379,-1,3.996988993322823e-05
10335,122380,-1,3.996988993322823e-05
10970,122379,-1,3.996988993322823e-05
10970,122380,-1,3.996988993322823e-05
6147,89367,-1,1.2014086347801215e-12
8125,5991,-1,1.2014086347801215e-12
8890,15529,-1,9.820680661287686e-12
8890,15530,-1,9.820680661287686e-12
6689,105818,-1,1.2014086347801215e-12
6689,105819,-1,1.2014086347801215e-12
6687,105812,-1,1.2014086347801215e-12
7717,122379,-1,1.2014086347801215e-12
7717,122380,-1,1.2014086347801215e-12
10942,113580,-1,4.090968724956945e-08
10942,113581,-1,4.090968724956945e-08
10942,113582,-1,4.090968724956945e-08
10942,113583,-1,4.090968724956945e-08
9294,32025,-1,1.4431001071501222e-11
10919,97208,-1,4.090968724956945e-08
5425,73257,-1,1.2014086347801215e-12
5425,73258,-1,1.2014086347801215e-12
7715,122373,-1,1.2014086347801215e-12
7934,65212,-1,9.820680661287686e-12
7934,65213,-1,9.820680661287686e-12
1251,95674,-1,5.947699733579815e-10
1251,95675,-1,5.947699733579815e-10
209,71098,-1,6.35761152275168e-15
209,71099,-1,6.35761152275168e-15
10977,130087,-1,4.090968724956945e-08
10977,130088,-1,4.090968724956945e-08
10977,130089,-1,4.090968724956945e-08
10977,130090,-1,4.090968724956945e-08
270,68804,-1,6.35761152275168e-15
2051,107372,-1,2.74275313021606e-07
2051,107373,-1,2.74275313021606e-07
2072,101303,-1,6.35761152275168e-15
2072,101304,-1,6.35761152275168e-15
2072,101305,-1,6.35761152275168e-15
1623,89622,-1,2.9317827829290834e-12
6688,105812,-1,1.2014086347801215e-12
6147,89373,-1,1.2014086347801215e-12
6147,89374,-1,1.2014086347801215e-12
10911,97208,-1,4.090968724956945e-08
10911,97209,-1,4.090968724956945e-08
10911,97210,-1,4.090968724956945e-08
10911,97211,-1,4.090968724956945e-08
2072,101307,-1,6.35761152275168e-15
1069,75630,-1,3.484219354123084e-13
8890,49102,-1,9.820680661287686e-12
8890,49103,-1,9.820680661287686e-12
2413,102068,-1,4.372915937012163e-13
2413,102069,-1,4.372915937012163e-13
2611,114491,-1,5.947699733579815e-10
2611,114492,-1,5.947699733579815e-10
955,69835,-1,5.1969055928609405e-14
955,69839,-1,5.1969055928609405e-14
955,69840,-1,5.1969055928609405e-14
1625,88588,-1,4.164652625930439e-11
2601,112061,-1,5.947699733579815e-10
2601,112062,-1,5.947699733579815e-10
3002,130995,-1,5.947699733579815e-10
3002,130996,-1,5.947699733579815e-10
4859,18429,-1,3.996988993322823e-05
1624,95361,-1,3.98758262655675e-09
1624,95362,-1,3.98758262655675e-09
6145,89367,-1,1.2014086347801215e-12
4835,24043,-1,4.2624043707860734e-14
4835,24044,-1,4.2624043707860734e-14
5344,25537,-1,6.35761152275168e-15
979,94998,-1,4.164652625930439e-11
979,94999,-1,4.164652625930439e-11
7934,115479,-1,9.820680661287686e-12
7934,115480,-1,9.820680661287686e-12
8123,5991,-1,1.2014086347801215e-12
2098,101356,-1,3.996988993322823e-05
5626,99132,-1,9.820680661287686e-12
5626,99133,-1,9.820680661287686e-12
7716,122373,-1,1.2014086347801215e-12
54,70522,-1,3.996988993322823e-05
54,70523,-1,3.996988993322823e-05
54,70524,-1,3.996988993322823e-05
54,70525,-1,3.996988993322823e-05
54,70526,-1,3.996988993322823e-05
5317,26794,-1,6.35761152275168e-15
1261,98133,-1,5.947699733579815e-10
1261,98134,-1,5.947699733579815e-10
6992,103294,-1,3.977355180394749e-11
9351,23116,-1,1.1145961445457135e-12
2905,117914,-1,3.996988993322823e-05
995,90929,-1,2.74275313021606e-07
995,90930,-1,2.74275313021606e-07
8896,33162,-1,3.1597102084412414e-09
8896,33163,-1,3.1597102084412414e-09
10844,22865,-1,4.372915937012163e-13
8584,15210,-1,1.4431001071501222e-11
8584,15211,-1,1.4431001071501222e-11
1913,111395,-1,4.164652625930439e-11
1913,111396,-1,4.164652625930439e-11
1249,95674,-1,2.9317827829290834e-12
1249,95675,-1,2.9317827829290834e-12
5423,73251,-1,1.2014086347801215e-12
54,74808,-1,2.74275313021606e-07
54,74809,-1,2.74275313021606e-07
2861,117860,-1,6.35761152275168e-15
2599,112061,-1,2.9317827829290834e-12
2599,112062,-1,2.9317827829290834e-12
4292,14541,-1,5.947699733579815e-10
4292,14542,-1,5.947699733579815e-10
512,69007,-1,6.35761152275168e-15
512,69008,-1,6.35761152275168e-15
512,69009,-1,6.35761152275168e-15
512,69010,-1,6.35761152275168e-15
209,71100,-1,6.35761152275168e-15
209,71101,-1,6.35761152275168e-15
209,71102,-1,6.35761152275168e-15
7500,119849,-1,3.977355180394749e-11
5904,68628,-1,1.2014086347801215e-12
5904,68629,-1,1.2014086347801215e-12
5904,68630,-1,1.2014086347801215e-12
5904,68631,-1,1.2014086347801215e-12
10937,113580,-1,4.090968724956945e-08
10937,113581,-1,4.090968724956945e-08
10937,113582,-1,4.090968724956945e-08
10937,113583,-1,4.090968724956945e-08
1967,109617,-1,4.372915937012163e-13
1967,109618,-1,4.372915937012163e-13
3847,1547,-1,3.996988993322823e-05
1566,85747,-1,4.372915937012163e-13
1566,85748,-1,4.372915937012163e-13
1566,85749,-1,4.372915937012163e-13
8812,32553,-1,1.2014086347801215e-12
7,74808,-1,4.2624043707860734e-14
7,74809,-1,4.2624043707860734e-14
1735,83583,-1,4.2624043707860734e-14
1735,83586,-1,4.2624043707860734e-14
1735,83589,-1,4.2624043707860734e-14
1736,83583,-1,4.2624043707860734e-14
1736,83586,-1,4.2624043707860734e-14
1736,83589,-1,4.2624043707860734e-14
5906,68628,-1,1.2014086347801215e-12
