id_l,id_r,panda_label,panda_soft_label
654,16274,-1,5.575885062824203e-06
656,16270,-1,5.575885062824203e-06
656,16271,-1,5.575885062824203e-06
656,16272,-1,5.575885062824203e-06
656,16273,-1,5.575885062824203e-06
657,16270,-1,5.575885062824203e-06
657,16272,-1,5.575885062824203e-06
657,16273,-1,5.575885062824203e-06
657,16274,-1,5.575885062824203e-06
669,13577,0,0.5
669,13578,0,0.5
669,13579,0,0.5
669,13580,0,0.5
1402,6340,-1,1.957140597998688e-09
1402,6341,-1,1.957140597998688e-09
156,4589,-1,2.956569889800443e-07
1044,16232,-1,4.795263873967413e-08
1044,16233,-1,4.795263873967413e-08
1044,16234,-1,4.795263873967413e-08
960,15632,-1,4.795263873967413e-08
316,8655,-1,5.575885062824203e-06
316,8656,-1,5.575885062824203e-06
1156,3379,-1,9.954713010083289e-05
1156,3380,-1,9.954713010083289e-05
129,4641,-1,2.956569889800443e-07
129,4650,-1,2.956569889800443e-07
696,6340,-1,2.956569889800443e-07
696,6341,-1,2.956569889800443e-07
630,16232,-1,5.575885062824203e-06
630,16233,-1,5.575885062824203e-06
630,16234,-1,5.575885062824203e-06
144,10352,-1,2.956569889800443e-07
1029,12594,-1,4.795263873967413e-08
1029,12595,-1,4.795263873967413e-08
1029,12596,-1,4.795263873967413e-08
1029,12597,-1,4.795263873967413e-08
219,3834,-1,0.000129323770715616
1179,4591,-1,4.795263873967413e-08
640,8814,-1,6.858096507498553e-06
640,8815,-1,6.858096507498553e-06
150,3876,-1,5.575885062824203e-06
150,3877,-1,5.575885062824203e-06
150,3878,-1,5.575885062824203e-06
150,3879,-1,5.575885062824203e-06
542,12597,-1,5.575885062824203e-06
926,3795,-1,4.795263873967413e-08
1536,1259,-1,4.795263873967413e-08
1536,1260,-1,4.795263873967413e-08
1536,1261,-1,4.795263873967413e-08
1536,1262,-1,4.795263873967413e-08
129,4659,-1,2.956569889800443e-07
129,4660,-1,2.956569889800443e-07
465,8754,-1,2.956569889800443e-07
854,1199,-1,5.575885062824203e-06
854,1203,-1,5.575885062824203e-06
1552,1259,-1,4.795263873967413e-08
1552,1260,-1,4.795263873967413e-08
1552,1261,-1,4.795263873967413e-08
1552,1262,-1,4.795263873967413e-08
316,8657,-1,5.575885062824203e-06
316,8658,-1,5.575885062824203e-06
162,3876,-1,5.575885062824203e-06
162,3877,-1,5.575885062824203e-06
162,3878,-1,5.575885062824203e-06
