id_l,id_r,panda_label,panda_soft_label
984,3357,-1,1.7917596139925853e-06
971,2032,-1,1.7917596139925853e-06
971,2033,-1,1.7917596139925853e-06
500,14448,-1,3.925033609061751e-06
500,14449,-1,3.925033609061751e-06
501,14448,-1,3.925033609061751e-06
501,14449,-1,3.925033609061751e-06
620,2775,-1,1.7917596139925853e-06
620,2776,-1,1.7917596139925853e-06
620,2777,-1,1.7917596139925853e-06
926,3793,-1,8.242534336096369e-09
834,1449,-1,8.37703263833133e-08
834,1450,-1,8.37703263833133e-08
302,1793,-1,1.7917596139925853e-06
302,1794,-1,1.7917596139925853e-06
1167,14448,-1,8.242534336096369e-09
1167,14449,-1,8.242534336096369e-09
275,912,-1,1.7917596139925853e-06
275,909,-1,1.7917596139925853e-06
465,8755,-1,1.7917596139925853e-06
465,8756,-1,1.7917596139925853e-06
493,12064,-1,8.37703263833133e-08
493,12065,-1,8.37703263833133e-08
834,1452,-1,8.37703263833133e-08
507,10303,-1,1.7917596139925853e-06
507,10304,-1,1.7917596139925853e-06
507,10306,-1,1.7917596139925853e-06
507,10307,-1,1.7917596139925853e-06
1594,3752,-1,1.818633645966582e-08
1594,3753,-1,1.818633645966582e-08
1594,3754,-1,1.818633645966582e-08
1594,3755,-1,1.818633645966582e-08
1561,6183,-1,8.242534336096369e-09
1561,6184,-1,8.242534336096369e-09
1561,6185,-1,8.242534336096369e-09
378,1508,-1,1.7917596139925853e-06
275,11357,-1,1.7917596139925853e-06
275,11360,-1,1.7917596139925853e-06
115,5665,-1,8.37703263833133e-08
115,5666,-1,8.37703263833133e-08
144,10352,-1,8.37703263833133e-08
989,10505,-1,1.7917596139925853e-06
1303,6192,-1,2.218544181270536e-06
1303,6193,-1,2.218544181270536e-06
1303,6194,-1,2.218544181270536e-06
1714,4342,-1,7.050574245865882e-05
1714,4343,-1,7.050574245865882e-05
1714,4344,-1,7.050574245865882e-05
270,16424,-1,1.7917596139925853e-06
889,8607,-1,1.7917596139925853e-06
1864,3760,-1,1.7917596139925853e-06
1864,3761,-1,1.7917596139925853e-06
1864,3762,-1,1.7917596139925853e-06
1088,13534,-1,1.7917596139925853e-06
252,13214,-1,8.37703263833133e-08
252,13215,-1,8.37703263833133e-08
962,2266,-1,1.818633645966582e-08
1543,3876,-1,8.242534336096369e-09
1543,3877,-1,8.242534336096369e-09
1543,3878,-1,8.242534336096369e-09
1543,3879,-1,8.242534336096369e-09
491,12064,-1,1.7917596139925853e-06
491,12065,-1,1.7917596139925853e-06
1594,1556,-1,8.242534336096369e-09
1834,11357,-1,1.7917596139925853e-06
1834,11360,-1,1.7917596139925853e-06
444,9355,-1,8.37703263833133e-08
444,9356,-1,8.37703263833133e-08
295,242,-1,8.37703263833133e-08
295,244,-1,8.37703263833133e-08
715,9132,-1,5.154715787319e-08
715,9133,-1,5.154715787319e-08
715,9134,-1,5.154715787319e-08
1222,12616,-1,2.1762916944156335e-06
1222,12617,-1,2.1762916944156335e-06
1222,12618,-1,2.1762916944156335e-06
777,5461,-1,1.7917596139925853e-06
219,3834,-1,1.7917596139925853e-06
1081,14940,-1,1.7917596139925853e-06
687,1392,-1,1.7917596139925853e-06
1499,15525,-1,8.242534336096369e-09
252,13212,-1,8.37703263833133e-08
252,13213,-1,8.37703263833133e-08
964,15701,-1,2.218544181270536e-06
801,8126,-1,8.37703263833133e-08
801,8127,-1,8.37703263833133e-08
270,16420,-1,1.7917596139925853e-06
492,12064,-1,1.7917596139925853e-06
492,12065,-1,1.7917596139925853e-06
964,15702,-1,2.218544181270536e-06
1599,6361,-1,1.7917596139925853e-06
1599,6362,-1,1.7917596139925853e-06
1599,6363,-1,1.7917596139925853e-06
324,4460,-1,2.1762916944156335e-06
324,4461,-1,2.1762916944156335e-06
324,4462,-1,2.1762916944156335e-06
324,4463,-1,2.1762916944156335e-06
1552,1259,-1,8.242534336096369e-09
1552,1260,-1,8.242534336096369e-09
1552,1261,-1,8.242534336096369e-09
1552,1262,-1,8.242534336096369e-09
45,2032,-1,1.7917596139925853e-06
45,2033,-1,1.7917596139925853e-06
1630,1351,-1,1.7917596139925853e-06
1630,1354,-1,1.7917596139925853e-06
499,14448,-1,3.925033609061751e-06
499,14449,-1,3.925033609061751e-06
1545,1284,-1,8.242534336096369e-09
1825,5944,-1,1.7917596139925853e-06
1517,13784,-1,8.242534336096369e-09
270,16417,-1,1.7917596139925853e-06
270,16419,-1,1.7917596139925853e-06
1140,2601,-1,1.7917596139925853e-06
1140,2602,-1,1.7917596139925853e-06
1140,2603,-1,1.7917596139925853e-06
1825,5950,-1,1.7917596139925853e-06
1825,5951,-1,1.7917596139925853e-06
1825,5952,-1,1.7917596139925853e-06
989,7872,-1,1.7917596139925853e-06
989,7871,-1,1.7917596139925853e-06
989,7873,-1,1.7917596139925853e-06
989,7874,-1,1.7917596139925853e-06
569,12096,-1,8.37703263833133e-08
571,12096,-1,8.37703263833133e-08
569,12097,-1,8.37703263833133e-08
571,12097,-1,8.37703263833133e-08
1545,1283,-1,8.242534336096369e-09
488,14448,-1,8.37703263833133e-08
488,14449,-1,8.37703263833133e-08
9,16340,-1,1.848309197156806e-07
9,16341,-1,1.848309197156806e-07
1585,15232,-1,8.242534336096369e-09
1585,15233,-1,8.242534336096369e-09
1635,1894,-1,1.7917596139925853e-06
1635,1895,-1,1.7917596139925853e-06
984,3356,-1,1.7917596139925853e-06
984,3358,-1,1.7917596139925853e-06
984,3359,-1,1.7917596139925853e-06
1474,8614,-1,8.242534336096369e-09
1474,8615,-1,8.242534336096369e-09
270,16423,-1,1.7917596139925853e-06
1424,3760,-1,8.242534336096369e-09
1424,3761,-1,8.242534336096369e-09
1424,3762,-1,8.242534336096369e-09
971,15618,-1,1.7917596139925853e-06
1551,1259,-1,8.242534336096369e-09
1551,1260,-1,8.242534336096369e-09
1551,1261,-1,8.242534336096369e-09
1551,1262,-1,8.242534336096369e-09
964,15703,-1,2.218544181270536e-06
964,15704,-1,2.218544181270536e-06
656,16270,-1,1.7917596139925853e-06
270,16421,-1,1.7917596139925853e-06
801,8151,-1,8.37703263833133e-08
801,8152,-1,8.37703263833133e-08
1599,5906,-1,1.7917596139925853e-06
302,3822,-1,8.37703263833133e-08
302,3823,-1,8.37703263833133e-08
1517,13783,-1,8.242534336096369e-09
1827,5944,-1,1.7917596139925853e-06
57,1357,-1,1.7917596139925853e-06
1581,4612,-1,1.7917596139925853e-06
1630,2,-1,1.7917596139925853e-06
1630,5,-1,1.7917596139925853e-06
657,16270,-1,1.7917596139925853e-06
657,16271,-1,1.7917596139925853e-06
115,5620,-1,8.37703263833133e-08
115,5621,-1,8.37703263833133e-08
115,5622,-1,8.37703263833133e-08
971,15617,-1,1.7917596139925853e-06
224,13165,-1,1.7917596139925853e-06
224,13166,-1,1.7917596139925853e-06
616,11066,-1,1.7917596139925853e-06
616,11067,-1,1.7917596139925853e-06
616,11068,-1,1.7917596139925853e-06
616,11069,-1,1.7917596139925853e-06
1052,6903,-1,1.7917596139925853e-06
1052,6904,-1,1.7917596139925853e-06
1436,10088,-1,2.218544181270536e-06
1484,4395,-1,1.7917596139925853e-06
1484,4396,-1,1.7917596139925853e-06
1007,7872,-1,1.7917596139925853e-06
1007,7873,-1,1.7917596139925853e-06
1007,7874,-1,1.7917596139925853e-06
1165,11837,-1,8.242534336096369e-09
1165,11838,-1,8.242534336096369e-09
1165,11839,-1,8.242534336096369e-09
887,8607,-1,8.37703263833133e-08
640,8823,-1,8.37703263833133e-08
640,8825,-1,8.37703263833133e-08
304,3822,-1,8.37703263833133e-08
304,3823,-1,8.37703263833133e-08
660,8814,-1,8.37703263833133e-08
660,8815,-1,8.37703263833133e-08
834,1451,-1,8.37703263833133e-08
270,16418,-1,1.7917596139925853e-06
270,16422,-1,1.7917596139925853e-06
1827,5947,-1,1.7917596139925853e-06
1827,5945,-1,1.7917596139925853e-06
1827,5949,-1,1.7917596139925853e-06
978,5944,-1,1.7917596139925853e-06
465,8754,-1,8.37703263833133e-08
978,5945,-1,1.7917596139925853e-06
978,5947,-1,1.7917596139925853e-06
978,5949,-1,1.7917596139925853e-06
1165,11834,-1,8.242534336096369e-09
1165,11835,-1,8.242534336096369e-09
1165,11836,-1,8.242534336096369e-09
569,12098,-1,8.37703263833133e-08
571,12098,-1,8.37703263833133e-08
1545,1272,-1,8.242534336096369e-09
1545,1273,-1,8.242534336096369e-09
1545,1274,-1,8.242534336096369e-09
889,8616,-1,1.7917596139925853e-06
205,6081,-1,0.0005478290533882758
984,3140,-1,7.050574245865882e-05
1462,3505,-1,1.0011480191079595e-08
1462,3506,-1,1.0011480191079595e-08
841,3717,-1,8.37703263833133e-08
1621,1556,-1,1.7917596139925853e-06
1621,1557,-1,1.7917596139925853e-06
1570,13223,-1,8.242534336096369e-09
1063,1787,-1,2.218544181270536e-06
1063,1788,-1,2.218544181270536e-06
440,16357,-1,8.37703263833133e-08
440,16358,-1,8.37703263833133e-08
440,16359,-1,8.37703263833133e-08
440,16360,-1,8.37703263833133e-08
989,3388,-1,1.7917596139925853e-06
989,3389,-1,1.7917596139925853e-06
989,3390,-1,1.7917596139925853e-06
201,4120,-1,1.7917596139925853e-06
201,4121,-1,1.7917596139925853e-06
969,15618,-1,8.242534336096369e-09
217,1361,-1,1.7917596139925853e-06
217,1362,-1,1.7917596139925853e-06
821,17044,0,0.5
821,17045,0,0.5
439,16340,-1,8.37703263833133e-08
439,16341,-1,8.37703263833133e-08
517,1980,-1,8.37703263833133e-08
517,1981,-1,8.37703263833133e-08
517,1982,-1,8.37703263833133e-08
517,1983,-1,8.37703263833133e-08
517,1984,-1,8.37703263833133e-08
517,1985,-1,8.37703263833133e-08
517,1986,-1,8.37703263833133e-08
258,14781,-1,8.37703263833133e-08
258,14782,-1,8.37703263833133e-08
258,14783,-1,8.37703263833133e-08
258,14784,-1,8.37703263833133e-08
258,14785,-1,8.37703263833133e-08
258,14786,-1,8.37703263833133e-08
1062,6183,-1,8.242534336096369e-09
1062,6184,-1,8.242534336096369e-09
1062,6185,-1,8.242534336096369e-09
773,8903,-1,8.37703263833133e-08
773,8904,-1,8.37703263833133e-08
773,8905,-1,8.37703263833133e-08
1714,2158,-1,1.7917596139925853e-06
722,8889,-1,8.37703263833133e-08
722,8890,-1,8.37703263833133e-08
722,8891,-1,8.37703263833133e-08
444,7970,-1,1.7917596139925853e-06
444,7968,-1,1.7917596139925853e-06
444,7969,-1,1.7917596139925853e-06
444,7971,-1,1.7917596139925853e-06
1581,4613,-1,1.7917596139925853e-06
715,9126,-1,8.37703263833133e-08
715,9127,-1,8.37703263833133e-08
715,9128,-1,8.37703263833133e-08
123,4592,-1,1.7917596139925853e-06
123,4593,-1,1.7917596139925853e-06
123,4594,-1,1.7917596139925853e-06
201,11742,-1,1.7917596139925853e-06
201,11743,-1,1.7917596139925853e-06
201,11744,-1,1.7917596139925853e-06
354,7122,-1,8.37703263833133e-08
354,7123,-1,8.37703263833133e-08
270,12699,-1,1.7917596139925853e-06
270,12700,-1,1.7917596139925853e-06
891,758,-1,8.37703263833133e-08
891,761,-1,8.37703263833133e-08
1800,13784,-1,1.7917596139925853e-06
507,734,-1,1.7917596139925853e-06
507,737,-1,1.7917596139925853e-06
237,8332,-1,8.37703263833133e-08
383,16340,-1,1.848309197156806e-07
383,16341,-1,1.848309197156806e-07
971,15619,-1,1.7917596139925853e-06
57,1358,-1,1.7917596139925853e-06
528,1228,-1,1.7917596139925853e-06
528,1232,-1,1.7917596139925853e-06
1859,1593,-1,7.050574245865882e-05
1859,1594,-1,7.050574245865882e-05
1426,3760,-1,8.242534336096369e-09
1426,3761,-1,8.242534336096369e-09
1426,3762,-1,8.242534336096369e-09
383,16357,-1,8.37703263833133e-08
383,16358,-1,8.37703263833133e-08
383,16359,-1,8.37703263833133e-08
383,16360,-1,8.37703263833133e-08
587,8790,-1,8.37703263833133e-08
587,8792,-1,8.37703263833133e-08
777,5459,-1,1.7917596139925853e-06
777,5460,-1,1.7917596139925853e-06
1719,2200,-1,1.7917596139925853e-06
115,5617,-1,8.37703263833133e-08
1038,15421,-1,8.242534336096369e-09
1038,15422,-1,8.242534336096369e-09
224,2028,-1,1.7917596139925853e-06
224,2029,-1,1.7917596139925853e-06
57,1355,-1,1.7917596139925853e-06
57,1356,-1,1.7917596139925853e-06
1599,5909,-1,1.7917596139925853e-06
1607,7872,-1,1.7917596139925853e-06
1607,7871,-1,1.7917596139925853e-06
1607,7873,-1,1.7917596139925853e-06
1607,7874,-1,1.7917596139925853e-06
1536,1259,-1,8.242534336096369e-09
